"word","n","date"
"don",45,2021-07-25
"im",45,2021-07-25
"na",45,2021-07-25
"time",44,2021-07-25
<<<<<<< HEAD
"bbnaija",176,2021-07-25
"rt",172,2021-07-25
"relnofollowtwitter",76,2021-07-25
"falsenanaa",74,2021-07-25
"hrefhttptwittercomdownloadandroid",50,2021-07-25
"money",34,2021-07-25
"white",31,2021-07-25
"ðÿ",25,2021-07-25
"hrefhttptwittercomdownloadiphone",25,2021-07-25
"bbnaijafalsena",22,2021-07-25
"whitemoney",18,2021-07-25
"yousef",17,2021-07-25
"guys",16,2021-07-25
"boma",15,2021-07-25
"house",14,2021-07-25
"yerins",14,2021-07-25
"emmanuel",12,2021-07-25
"dey",11,2021-07-25
"ðÿðÿðÿ",11,2021-07-25
"guy",11,2021-07-25
"don",10,2021-07-25
"bbnaijaseason",9,2021-07-25
"people",9,2021-07-25
"season",9,2021-07-25
"ðÿðÿ",8,2021-07-25
"ðÿðÿðÿðÿ",8,2021-07-25
"na",8,2021-07-25
"start",8,2021-07-25
"time",8,2021-07-25
"brother",7,2021-07-25
"dont",7,2021-07-25
"maziibe",7,2021-07-25
"niyi",7,2021-07-25
"retweet",7,2021-07-25
"shawnifee",7,2021-07-25
"washing",7,2021-07-25
"bbnaija",176,2021-07-25
"rt",172,2021-07-25
"relnofollowtwitter",76,2021-07-25
"falsenanaa",74,2021-07-25
"hrefhttptwittercomdownloadandroid",50,2021-07-25
"money",34,2021-07-25
"white",31,2021-07-25
"ðÿ",25,2021-07-25
"hrefhttptwittercomdownloadiphone",25,2021-07-25
"bbnaijafalsena",22,2021-07-25
"whitemoney",18,2021-07-25
"yousef",17,2021-07-25
"guys",16,2021-07-25
"boma",15,2021-07-25
"house",14,2021-07-25
"yerins",14,2021-07-25
"emmanuel",12,2021-07-25
"dey",11,2021-07-25
"ðÿðÿðÿ",11,2021-07-25
"guy",11,2021-07-25
"don",10,2021-07-25
"bbnaijaseason",9,2021-07-25
"people",9,2021-07-25
